NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(38, 20, 0, 13)","(83.653, -2.689, -12.917)","(212, 38.91, 86.67)",66.59,40000,"(135, 162, 221)","(38, 41, 74)"
"(33, 24, 0, 59)","(63.032, 0.905, -10.118)","(223, 33.98, 40.39)",30.46,19821,"(68, 75, 103)","(7, 8, 14)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(100, 100, 0, 99)","(0.02, 0.139, -0.379)","(240, 100.0, 0.39)",0.03,40000,"(0, 0, 1)","(0, 0, 0)"
"(43, 25, 0, 25)","(77.232, -1.366, -14.849)","(216, 43.39, 74.12)",53.54,40000,"(107, 130, 189)","(24, 25, 51)"
"(50, 50, 0, 99)","(0.294, 0.139, -0.379)","(240, 50.0, 0.78)",0.42,40000,"(1, 1, 2)","(0, 0, 0)"
"(39, 25, 0, 49)","(67.592, -0.236, -11.897)","(218, 39.06, 50.2)",37.05,40000,"(78, 91, 128)","(11, 11, 22)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(26, 15, 0, 13)","(85.881, -0.885, -9.26)","(216, 26.82, 86.27)",71.54,13059,"(161, 178, 220)","(45, 47, 74)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(20, 14, 0, 61)","(65.01, 0.381, -5.615)","(222, 20.2, 38.82)",33.23,10049,"(79, 83, 99)","(8, 9, 12)"
"(29, 15, 0, 32)","(78.304, -1.962, -8.433)","(211, 29.24, 67.06)",55.6,14689,"(121, 137, 171)","(25, 27, 42)"
"(50, 50, 0, 99)","(0.294, 0.139, -0.379)","(240, 50.0, 0.78)",0.42,40000,"(1, 1, 2)","(0, 0, 0)"
"(46, 29, 0, 47)","(67.209, -0.423, -14.753)","(218, 46.67, 52.94)",36.47,40000,"(72, 88, 135)","(10, 10, 24)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(27, 16, 0, 56)","(67.089, -0.847, -7.231)","(215, 27.68, 43.92)",36.29,13557,"(81, 90, 112)","(10, 10, 16)"
"(31, 18, 0, 61)","(62.991, -0.939, -7.938)","(215, 31.96, 38.04)",30.41,17263,"(66, 75, 97)","(7, 7, 12)"
"(42, 25, 0, 43)","(70.347, -0.99, -13.063)","(216, 42.07, 56.86)",41.4,40000,"(84, 101, 145)","(14, 14, 28)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(32, 18, 0, 24)","(80.723, -1.253, -10.537)","(215, 32.12, 75.69)",60.42,17263,"(131, 149, 193)","(31, 33, 54)"
"(33, 17, 0, 29)","(79.122, -2.567, -9.887)","(210, 33.7, 70.98)",57.2,19242,"(120, 140, 181)","(26, 28, 47)"
"(18, 9, 0, 33)","(80.276, -1.383, -5.163)","(210, 18.82, 66.67)",59.51,9562,"(138, 148, 170)","(28, 31, 42)"
"(29, 15, 0, 58)","(65.615, -1.672, -6.965)","(211, 29.52, 41.18)",34.1,15005,"(74, 84, 105)","(8, 9, 14)"
"(20, 11, 0, 47)","(73.312, -1.076, -5.454)","(212, 20.74, 52.94)",46.4,10181,"(107, 115, 135)","(17, 18, 25)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(28, 15, 0, 32)","(78.605, -1.462, -8.512)","(213, 28.32, 67.84)",56.19,14098,"(124, 139, 173)","(26, 28, 43)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(23, 13, 0, 56)","(67.914, -0.732, -5.976)","(215, 23.21, 43.92)",37.55,11241,"(86, 93, 112)","(10, 11, 16)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(27, 15, 0, 50)","(70.029, -1.007, -7.535)","(214, 27.78, 49.41)",40.88,13557,"(91, 101, 126)","(12, 13, 21)"
"(42, 20, 0, 58)","(63.608, -3.075, -10.042)","(209, 42.86, 41.18)",31.25,40000,"(60, 75, 105)","(7, 8, 14)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(24, 14, 0, 52)","(69.399, -0.691, -6.484)","(215, 24.17, 47.06)",39.87,11594,"(91, 99, 120)","(12, 13, 19)"
